Prov,Con_ACT,Sex,Age,Measure,M0,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25,M26,M27,M28,M29,M30,M31,M32,M33,M34,M35,M36,M37,M38,M39
BC,No,F,ALL,censored,,3,,,,1,,3,3,,,,,,,,,,,,,1,,2,,,2,,3,,,,,,,,,,,
BC,No,M,20-24,Tx,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BC,No,M,20-24,events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BC,No,M,20-24,censored,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BC,No,M,30-34,Tx,5,4,4,4,4,4,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,0,0,,,,,,,,,,,,,
BC,No,M,30-34,events,,1,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,
BC,No,M,30-34,censored,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
BC,No,M,35-39,Tx,1,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BC,No,M,35-39,events,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BC,No,M,35-39,censored,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BC,No,M,40-44,Tx,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,,,,,,,,,,,,,,,
BC,No,M,40-44,events,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
BC,No,M,40-44,censored,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BC,No,M,45-49,Tx,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,0,0,,,,,,,,,,,,,,,,
BC,No,M,45-49,events,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
BC,No,M,45-49,censored,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
BC,No,M,50-54,Tx,11,9,9,9,9,9,9,8,7,7,6,5,4,3,3,2,2,2,2,2,2,2,1,1,1,0,0,,,,,,,,,,,,,
BC,No,M,50-54,events,,2,,,,,,,,,1,,1,1,,1,,,,,,,1,,,,,,,,,,,,,,,,,
BC,No,M,50-54,censored,,,,,,,,1,1,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
BC,No,M,55-59,Tx,3,3,3,2,2,2,2,2,2,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
BC,No,M,55-59,events,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BC,No,M,55-59,censored,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
BC,No,M,60-64,Tx,11,8,7,7,6,5,5,5,5,4,3,3,3,3,3,3,2,1,1,1,1,1,1,1,1,1,1,0,0,,,,,,,,,,,
BC,No,M,60-64,events,,3,,,1,1,,,,1,1,,,,,,1,1,,,,,,,,,,1,,,,,,,,,,,,
BC,No,M,60-64,censored,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BC,No,M,65+,Tx,3,3,3,3,3,3,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,0,0,,,,,,,,,,,,,,,
BC,No,M,65+,events,,,,,,,1,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,
BC,No,M,65+,censored,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BC,No,M,ALL,Tx,39,33,31,29,27,26,25,24,22,20,18,17,13,12,11,10,9,8,8,8,8,8,5,3,3,1,1,0,0,,,,,,,,,,,
BC,No,M,ALL,events,,6,,1,2,1,1,,,2,2,,3,1,1,1,1,1,,,,,1,2,,1,,1,,,,,,,,,,,,
BC,No,M,ALL,censored,,,2,1,,,,1,2,,,1,1,,,,,,,,,,2,,,1,,,,,,,,,,,,,,
BC,Null,ALL,20-24,Tx,1,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BC,Null,ALL,20-24,events,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BC,Null,ALL,20-24,censored,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BC,Null,ALL,30-34,Tx,1,1,1,1,1,1,1,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BC,Null,ALL,30-34,events,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BC,Null,ALL,30-34,censored,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BC,Null,ALL,35-39,Tx,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,0,0,,,,,,,,,,,,,,,,,,
BC,Null,ALL,35-39,events,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,
BC,Null,ALL,35-39,censored,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BC,Null,ALL,40-44,Tx,4,3,3,2,1,1,1,1,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
BC,Null,ALL,40-44,events,,1,,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BC,Null,ALL,40-44,censored,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BC,Null,ALL,45-49,Tx,2,2,2,2,2,2,2,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BC,Null,ALL,45-49,events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BC,Null,ALL,45-49,censored,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BC,Null,ALL,50-54,Tx,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,0,0,,,,,,,,,,
BC,Null,ALL,50-54,events,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,
BC,Null,ALL,50-54,censored,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
BC,Null,ALL,55-59,Tx,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,0,0,,,,,,,,,,,,
BC,Null,ALL,55-59,events,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BC,Null,ALL,55-59,censored,,,,,,,,,1,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,
BC,Null,ALL,60-64,Tx,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,,,,,,,,,,,,,,,,,
BC,Null,ALL,60-64,events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BC,Null,ALL,60-64,censored,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
BC,Null,ALL,65+,Tx,7,6,6,5,5,5,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,,,,,,,,,,,,
BC,Null,ALL,65+,events,,1,,1,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BC,Null,ALL,65+,censored,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,
BC,Null,ALL,ALL,Tx,26,24,24,21,19,19,18,14,12,12,11,10,10,10,10,10,9,9,9,7,6,5,4,4,4,4,1,1,0,0,,,,,,,,,,
BC,Null,ALL,ALL,events,,2,,3,2,,1,2,,,1,1,,,,,1,,,2,1,,,,,,,,,,,,,,,,,,,
BC,Null,ALL,ALL,censored,,,,,,,,2,2,,,,,,,,,,,,,1,1,,,,3,,1,,,,,,,,,,,
BC,Null,F,20-24,Tx,1,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BC,Null,F,20-24,events,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BC,Null,F,20-24,censored,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BC,Null,F,30-34,Tx,1,1,1,1,1,1,1,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BC,Null,F,30-34,events,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BC,Null,F,30-34,censored,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BC,Null,F,35-39,Tx,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,0,0,,,,,,,,,,,,,,,,,,
BC,Null,F,35-39,events,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,
BC,Null,F,35-39,censored,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BC,Null,F,40-44,Tx,3,2,2,1,1,1,1,1,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
BC,Null,F,40-44,events,,1,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BC,Null,F,40-44,censored,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BC,Null,F,45-49,Tx,2,2,2,2,2,2,2,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BC,Null,F,45-49,events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BC,Null,F,45-49,censored,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BC,Null,F,50-54,Tx,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,0,0,,,,,,,,,,,,,,,,,,,
BC,Null,F,50-54,events,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,
BC,Null,F,50-54,censored,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BC,Null,F,55-59,Tx,3,3,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,,,,,,,,,,,,,,,,
BC,Null,F,55-59,events,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BC,Null,F,55-59,censored,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
BC,Null,F,65+,Tx,5,5,5,4,4,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,,,,,,,,,,,,
BC,Null,F,65+,events,,,,1,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BC,Null,F,65+,censored,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
BC,Null,F,ALL,Tx,20,19,19,16,15,15,14,10,8,8,7,6,6,6,6,6,5,5,5,3,2,2,1,1,1,1,0,0,,,,,,,,,,,,
BC,Null,F,ALL,events,,1,,3,1,,1,2,,,1,1,,,,,1,,,2,1,,,,,,,,,,,,,,,,,,,
BC,Null,F,ALL,censored,,,,,,,,2,2,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,
BC,Null,M,40-44,Tx,1,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BC,Null,M,40-44,events,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BC,Null,M,40-44,censored,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BC,Null,M,50-54,Tx,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,,,,,,,,,,
BC,Null,M,50-54,events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BC,Null,M,50-54,censored,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
BC,Null,M,55-59,Tx,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,,,,,,,,,,,,
BC,Null,M,55-59,events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BC,Null,M,55-59,censored,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
BC,Null,M,60-64,Tx,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,,,,,,,,,,,,,,,,,
BC,Null,M,60-64,events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BC,Null,M,60-64,censored,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
BC,Null,M,65+,Tx,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,,,,,,,,,,,,
BC,Null,M,65+,events,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BC,Null,M,65+,censored,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
BC,Null,M,ALL,Tx,6,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,1,1,0,0,,,,,,,,,,
BC,Null,M,ALL,events,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BC,Null,M,ALL,censored,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,,1,,,,,,,,,,,
BC,Yes,ALL,20-24,Tx,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BC,Yes,ALL,20-24,events,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BC,Yes,ALL,20-24,censored,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BC,Yes,ALL,40-44,Tx,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1,1,1,1,1,0,0,,,,,,,,,
BC,Yes,ALL,40-44,events,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,
BC,Yes,ALL,40-44,censored,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
BC,Yes,ALL,50-54,Tx,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BC,Yes,ALL,50-54,events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BC,Yes,ALL,50-54,censored,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BC,Yes,ALL,55-59,Tx,4,4,3,3,3,2,2,2,2,2,1,1,1,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,
BC,Yes,ALL,55-59,events,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
BC,Yes,ALL,55-59,censored,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BC,Yes,ALL,60-64,Tx,4,4,4,4,4,4,4,4,4,2,2,2,2,2,1,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,
BC,Yes,ALL,60-64,events,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
BC,Yes,ALL,60-64,censored,,,,,,,,,,2,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
BC,Yes,ALL,65+,Tx,6,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,0,0,,,,,,,,,
BC,Yes,ALL,65+,events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BC,Yes,ALL,65+,censored,,2,,,,,,,,,,,,1,,,,,1,,,,,1,,,,,,1,,,,,,,,,,
BC,Yes,ALL,ALL,Tx,19,16,14,14,14,13,13,13,13,11,10,10,10,9,8,8,7,7,5,5,5,5,5,3,2,2,2,2,2,0,0,,,,,,,,,
BC,Yes,ALL,ALL,events,,,2,,,,,,,,,,,,1,,1,,,,,,,,1,,,,,1,,,,,,,,,,
BC,Yes,ALL,ALL,censored,,3,,,,1,,,,2,1,,,1,,,,,2,,,,,2,,,,,,1,,,,,,,,,,
BC,Yes,F,20-24,Tx,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BC,Yes,F,20-24,events,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BC,Yes,F,20-24,censored,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BC,Yes,F,40-44,Tx,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,0,,,,,,,,,,,,,,
BC,Yes,F,40-44,events,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
BC,Yes,F,40-44,censored,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
BC,Yes,F,50-54,Tx,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BC,Yes,F,50-54,events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BC,Yes,F,50-54,censored,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BC,Yes,F,55-59,Tx,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,
BC,Yes,F,55-59,events,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
BC,Yes,F,55-59,censored,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BC,Yes,F,60-64,Tx,1,1,1,1,1,1,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BC,Yes,F,60-64,events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BC,Yes,F,60-64,censored,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BC,Yes,F,65+,Tx,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,0,0,,,,,,,,,
BC,Yes,F,65+,events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BC,Yes,F,65+,censored,,2,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,
BC,Yes,F,ALL,Tx,12,9,7,7,7,7,7,7,7,6,5,5,5,5,5,5,4,4,4,4,4,4,4,2,1,1,1,1,1,0,0,,,,,,,,,
BC,Yes,F,ALL,events,,,2,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,
BC,Yes,F,ALL,censored,,3,,,,,,,,1,1,,,,,,,,,,,,,2,,,,,,1,,,,,,,,,,
BC,Yes,M,40-44,Tx,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,,,,,,,,,
BC,Yes,M,40-44,events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
BC,Yes,M,40-44,censored,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BC,Yes,M,55-59,Tx,1,1,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BC,Yes,M,55-59,events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BC,Yes,M,55-59,censored,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BC,Yes,M,60-64,Tx,3,3,3,3,3,3,3,3,3,2,2,2,2,2,1,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,
BC,Yes,M,60-64,events,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
BC,Yes,M,60-64,censored,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
BC,Yes,M,65+,Tx,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,
BC,Yes,M,65+,events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BC,Yes,M,65+,censored,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,
BC,Yes,M,ALL,Tx,7,7,7,7,7,6,6,6,6,5,5,5,5,4,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,0,0,,,,,,,,,
BC,Yes,M,ALL,events,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,
BC,Yes,M,ALL,censored,,,,,,1,,,,1,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,,
ON,ALL,ALL,18-19,Tx,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,
ON,ALL,ALL,18-19,events,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ON,ALL,ALL,18-19,censored,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
ON,ALL,ALL,20-24,Tx,9,9,9,9,9,7,6,6,5,5,3,3,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,,,
ON,ALL,ALL,20-24,events,,,,,,1,1,,1,,2,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,
ON,ALL,ALL,20-24,censored,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
ON,ALL,ALL,25-29,Tx,10,8,8,8,8,8,8,6,6,3,1,1,1,1,1,1,1,1,1,1,0,0,,,,,,,,,,,,,,,,,,
ON,ALL,ALL,25-29,events,,1,,,,,,1,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ON,ALL,ALL,25-29,censored,,1,,,,,,1,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
ON,ALL,ALL,30-34,Tx,19,17,16,15,13,13,12,10,9,9,9,9,8,7,6,6,6,6,6,5,4,3,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1
ON,ALL,ALL,30-34,events,,1,,1,2,,1,,,,,,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,
ON,ALL,ALL,30-34,censored,,1,1,,,,,2,1,,,,,1,1,,,,,,,1,,1,,,,,1,,,,,,,,,,,
ON,ALL,ALL,35-39,Tx,46,44,42,38,35,34,33,31,28,27,24,18,16,15,14,13,11,9,8,7,7,7,6,6,5,5,5,5,3,2,2,2,1,1,1,1,1,1,0,0
ON,ALL,ALL,35-39,events,,1,1,,2,,1,,2,,2,5,1,1,,,,1,,,,,1,,1,,,,,,,,,,,,,,,
ON,ALL,ALL,35-39,censored,,1,1,4,1,1,,2,1,1,1,1,1,,1,1,2,1,1,1,,,,,,,,,2,1,,,1,,,,,,1,
ON,ALL,ALL,40-44,Tx,70,64,61,56,52,44,43,40,37,35,31,26,24,22,17,16,16,11,10,8,8,8,6,5,5,3,2,2,1,1,1,0,0,,,,,,,
ON,ALL,ALL,40-44,events,,5,,3,3,4,,2,1,2,3,1,1,,,,,,,1,,,1,,,,,,,,,,,,,,,,,
ON,ALL,ALL,40-44,censored,,1,3,2,1,4,1,1,2,,1,4,1,2,5,1,,5,1,1,,,1,1,,2,1,,1,,,1,,,,,,,,
ON,ALL,ALL,45-49,Tx,79,68,66,59,51,48,45,40,37,36,35,31,25,25,20,20,18,18,16,12,11,10,8,7,7,5,4,3,2,2,2,1,1,1,1,0,0,,,
ON,ALL,ALL,45-49,events,,6,,4,2,3,3,4,,1,1,1,1,,1,,,,1,2,,,1,,,1,,,,,,,,,,,,,,
ON,ALL,ALL,45-49,censored,,5,2,3,6,,,1,3,,,3,5,,4,,2,,1,2,1,1,1,1,,1,1,1,1,,,1,,,,1,,,,
ON,ALL,ALL,50-54,Tx,115,103,96,93,86,81,75,69,65,63,58,56,50,47,44,39,34,34,31,29,27,25,24,23,18,18,16,14,10,6,6,6,6,5,5,5,3,2,0,0
ON,ALL,ALL,50-54,events,,7,3,2,4,4,2,3,2,1,3,2,2,,,2,,,1,1,1,,1,,2,,,,1,,,,,1,,,,,,
ON,ALL,ALL,50-54,censored,,5,4,1,3,1,4,3,2,1,2,,4,3,3,3,5,,2,1,1,2,,1,3,,2,2,3,4,,,,,,,2,1,2,
ON,ALL,ALL,55-59,Tx,147,127,117,112,100,92,85,78,71,67,63,58,57,54,50,47,47,41,40,36,35,32,31,27,25,23,19,19,16,11,8,6,6,6,5,3,3,1,0,0
ON,ALL,ALL,55-59,events,,18,5,2,7,4,4,3,3,1,2,5,,1,1,1,,1,,2,,,,2,,,,,,1,,1,,,,,,,,
ON,ALL,ALL,55-59,censored,,2,5,3,5,4,3,4,4,3,2,,1,2,3,2,,5,1,2,1,3,1,2,2,2,4,,3,4,3,1,,,1,2,,2,1,
ON,ALL,ALL,60-64,Tx,101,90,87,82,79,73,71,64,57,54,49,44,39,38,36,32,30,29,25,23,19,17,14,12,10,7,6,4,3,2,2,2,2,2,1,0,0,,,
ON,ALL,ALL,60-64,events,,8,,1,1,4,1,4,4,1,4,2,3,,,2,,1,,,,,1,,,1,,,,,,,,,1,,,,,
ON,ALL,ALL,60-64,censored,,3,3,4,2,2,1,3,3,2,1,3,2,1,2,2,2,,4,2,4,2,2,2,2,2,1,2,1,1,,,,,,1,,,,
ON,ALL,ALL,65+,Tx,84,76,69,64,62,61,58,50,44,40,33,29,27,26,21,21,17,15,13,10,10,10,9,7,6,5,4,3,3,2,2,2,2,2,2,1,0,0,,
ON,ALL,ALL,65+,events,,7,6,4,,1,3,8,6,4,6,3,1,,3,,1,1,1,1,,,,,,,,,,,,,,,,,,,,
ON,ALL,ALL,65+,censored,,1,1,1,2,,,,,,1,1,1,1,2,,3,1,1,2,,,1,2,1,1,1,1,,1,,,,,,1,1,,,
ON,ALL,ALL,ALL,Tx,683,609,574,539,498,464,439,397,362,340,307,276,250,238,212,197,182,166,151,132,122,113,102,90,79,69,59,53,40,28,25,21,20,19,17,11,8,5,1,1
ON,ALL,ALL,ALL,events,,54,15,17,21,21,16,25,19,13,25,19,11,2,5,5,1,4,4,8,2,,5,2,3,2,,,1,1,,1,,1,1,,,,,
ON,ALL,ALL,ALL,censored,,20,20,18,20,13,9,17,16,9,8,12,15,10,21,10,14,12,11,11,8,9,6,10,8,8,10,6,12,11,3,3,1,,1,6,3,3,4,
ON,ALL,F,18-19,Tx,1,1,1,1,1,1,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ON,ALL,F,18-19,events,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ON,ALL,F,18-19,censored,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ON,ALL,F,20-24,Tx,5,5,5,5,5,4,3,3,2,2,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
ON,ALL,F,20-24,events,,,,,,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
ON,ALL,F,20-24,censored,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ON,ALL,F,25-29,Tx,4,3,3,3,3,3,3,2,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ON,ALL,F,25-29,events,,1,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ON,ALL,F,25-29,censored,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
